<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SOLUSDT,1,241112,144200,210.72000000,210.91000000,210.03000000,210.29000000,5463.70800000
SOLUSDT,1,241112,144100,211.03000000,211.08000000,210.46000000,210.72000000,8598.94300000
SOLUSDT,1,241112,144000,210.30000000,211.30000000,210.25000000,211.03000000,12274.54100000
SOLUSDT,1,241112,143900,209.73000000,210.44000000,209.73000000,210.30000000,8398.09300000
SOLUSDT,1,241112,143800,209.00000000,209.75000000,208.81000000,209.73000000,4716.74700000
SOLUSDT,1,241112,143700,209.49000000,209.56000000,208.94000000,208.99000000,4658.94000000
SOLUSDT,1,241112,143600,208.67000000,209.55000000,208.35000000,209.50000000,8974.09600000
SOLUSDT,1,241112,143500,208.78000000,209.13000000,208.49000000,208.66000000,8299.35500000
SOLUSDT,1,241112,143400,208.05000000,208.88000000,207.96000000,208.78000000,7303.92200000
SOLUSDT,1,241112,143300,207.17000000,208.19000000,206.87000000,208.06000000,10534.29500000
SOLUSDT,1,241112,143200,207.66000000,208.30000000,206.90000000,207.16000000,7234.06400000
SOLUSDT,1,241112,143100,208.48000000,208.68000000,207.33000000,207.67000000,7248.68300000
SOLUSDT,1,241112,143000,209.10000000,209.64000000,208.48000000,208.48000000,5443.13500000
SOLUSDT,1,241112,142900,209.62000000,209.74000000,209.02000000,209.10000000,4421.36000000
SOLUSDT,1,241112,142800,209.01000000,209.70000000,208.91000000,209.63000000,2797.24700000
SOLUSDT,1,241112,142700,208.63000000,209.06000000,208.46000000,209.00000000,3039.04800000
SOLUSDT,1,241112,142600,208.54000000,208.68000000,208.08000000,208.64000000,4040.42800000
SOLUSDT,1,241112,142500,208.73000000,209.04000000,208.34000000,208.53000000,3711.69400000
SOLUSDT,1,241112,142400,208.28000000,208.92000000,208.21000000,208.72000000,3890.89100000
SOLUSDT,1,241112,142300,208.73000000,208.86000000,208.07000000,208.29000000,4761.28700000
SOLUSDT,1,241112,142200,208.37000000,208.92000000,208.28000000,208.74000000,3050.67100000
SOLUSDT,1,241112,142100,207.99000000,208.62000000,207.88000000,208.37000000,3659.50000000
SOLUSDT,1,241112,142000,207.78000000,208.31000000,207.70000000,207.99000000,5810.54300000
SOLUSDT,1,241112,141900,208.40000000,208.50000000,207.38000000,207.78000000,7972.26200000
SOLUSDT,1,241112,141800,208.45000000,208.77000000,208.17000000,208.39000000,4795.44400000
SOLUSDT,1,241112,141700,208.89000000,209.20000000,208.45000000,208.45000000,3794.50000000
SOLUSDT,1,241112,141600,208.49000000,209.02000000,208.19000000,208.89000000,4583.84500000
SOLUSDT,1,241112,141500,208.97000000,209.01000000,208.11000000,208.49000000,4323.92800000
SOLUSDT,1,241112,141400,208.92000000,209.00000000,208.57000000,208.98000000,3667.54000000
SOLUSDT,1,241112,141300,208.62000000,209.22000000,208.45000000,208.91000000,7295.62000000
SOLUSDT,1,241112,141200,209.47000000,209.49000000,208.56000000,208.63000000,9577.30100000
SOLUSDT,1,241112,141100,209.70000000,209.74000000,209.22000000,209.47000000,6757.68400000
SOLUSDT,1,241112,141000,210.08000000,210.17000000,209.55000000,209.71000000,4966.49900000
SOLUSDT,1,241112,140900,210.19000000,210.46000000,209.86000000,210.08000000,9598.45800000
SOLUSDT,1,241112,140800,209.85000000,210.28000000,209.85000000,210.19000000,7314.02500000
SOLUSDT,1,241112,140700,210.10000000,210.54000000,209.78000000,209.85000000,5611.65200000
SOLUSDT,1,241112,140600,209.60000000,210.10000000,209.00000000,210.10000000,11293.55400000
SOLUSDT,1,241112,140500,210.72000000,210.90000000,209.51000000,209.60000000,8822.73100000
SOLUSDT,1,241112,140400,210.70000000,210.94000000,210.37000000,210.70000000,7502.24500000
SOLUSDT,1,241112,140300,210.39000000,210.72000000,210.04000000,210.71000000,5408.16800000
SOLUSDT,1,241112,140200,209.76000000,210.57000000,209.60000000,210.41000000,9655.04700000
SOLUSDT,1,241112,140100,209.64000000,210.05000000,209.53000000,209.73000000,7878.25600000
SOLUSDT,1,241112,140000,209.62000000,210.19000000,209.07000000,209.65000000,9351.80100000
SOLUSDT,1,241112,135900,209.23000000,209.91000000,209.07000000,209.62000000,10849.00700000
SOLUSDT,1,241112,135800,208.73000000,209.65000000,208.50000000,209.28000000,12627.83000000
SOLUSDT,1,241112,135700,208.34000000,209.24000000,208.15000000,208.72000000,12830.06400000
SOLUSDT,1,241112,135600,207.35000000,208.42000000,206.94000000,208.35000000,10355.83100000
SOLUSDT,1,241112,135500,206.61000000,207.40000000,206.37000000,207.32000000,12331.85700000
SOLUSDT,1,241112,135400,205.93000000,206.66000000,205.58000000,206.60000000,8603.71900000
SOLUSDT,1,241112,135300,205.49000000,205.95000000,204.78000000,205.95000000,10707.67200000
SOLUSDT,1,241112,135200,205.92000000,206.11000000,205.20000000,205.49000000,11754.59000000
SOLUSDT,1,241112,135100,205.18000000,206.31000000,205.04000000,205.91000000,10291.04700000
SOLUSDT,1,241112,135000,204.95000000,205.56000000,204.93000000,205.18000000,12784.49600000
SOLUSDT,1,241112,134900,205.80000000,205.90000000,204.71000000,204.92000000,22795.89400000
SOLUSDT,1,241112,134800,205.89000000,206.09000000,205.65000000,205.80000000,9894.69100000
SOLUSDT,1,241112,134700,206.88000000,206.98000000,205.76000000,205.88000000,16531.50200000
SOLUSDT,1,241112,134600,206.92000000,207.31000000,206.69000000,206.88000000,5862.41700000
SOLUSDT,1,241112,134500,207.59000000,207.77000000,206.66000000,206.92000000,5720.44500000
SOLUSDT,1,241112,134400,207.91000000,208.27000000,207.36000000,207.57000000,4037.68400000
SOLUSDT,1,241112,134300,207.06000000,208.01000000,206.92000000,207.91000000,4263.58200000
SOLUSDT,1,241112,134200,206.87000000,207.42000000,206.60000000,207.03000000,7845.96100000
SOLUSDT,1,241112,134100,207.25000000,207.50000000,206.76000000,206.86000000,4196.25700000
SOLUSDT,1,241112,134000,207.56000000,207.79000000,206.89000000,207.29000000,6503.32300000
SOLUSDT,1,241112,133900,207.32000000,208.12000000,207.32000000,207.56000000,5021.93600000
SOLUSDT,1,241112,133800,206.97000000,207.80000000,206.57000000,207.31000000,6686.81800000
SOLUSDT,1,241112,133700,207.36000000,207.98000000,206.79000000,206.97000000,9041.38400000
SOLUSDT,1,241112,133600,207.65000000,207.98000000,207.02000000,207.35000000,12807.92600000
SOLUSDT,1,241112,133500,208.31000000,208.50000000,207.37000000,207.62000000,7406.54400000
SOLUSDT,1,241112,133400,208.50000000,208.90000000,208.28000000,208.31000000,5690.36800000
SOLUSDT,1,241112,133300,209.14000000,209.39000000,208.50000000,208.50000000,6873.78300000
SOLUSDT,1,241112,133200,210.12000000,210.25000000,209.14000000,209.14000000,5389.79800000
SOLUSDT,1,241112,133100,208.95000000,210.11000000,208.75000000,210.11000000,8186.46500000
SOLUSDT,1,241112,133000,209.19000000,209.70000000,208.95000000,208.95000000,5204.38100000
SOLUSDT,1,241112,132900,209.45000000,209.46000000,209.01000000,209.20000000,3027.84300000
SOLUSDT,1,241112,132800,209.46000000,209.62000000,209.23000000,209.45000000,3761.11300000
SOLUSDT,1,241112,132700,209.75000000,209.88000000,209.40000000,209.46000000,3506.30400000
SOLUSDT,1,241112,132600,209.53000000,209.98000000,209.53000000,209.75000000,4880.75400000
SOLUSDT,1,241112,132500,210.10000000,210.21000000,209.47000000,209.52000000,6193.19600000
SOLUSDT,1,241112,132400,209.86000000,210.21000000,209.71000000,210.11000000,11636.57500000
SOLUSDT,1,241112,132300,209.15000000,210.00000000,208.99000000,209.86000000,10837.13100000
SOLUSDT,1,241112,132200,208.80000000,209.15000000,208.68000000,209.15000000,6309.10900000
SOLUSDT,1,241112,132100,207.83000000,208.95000000,207.62000000,208.79000000,10213.47000000
SOLUSDT,1,241112,132000,207.09000000,207.98000000,207.01000000,207.82000000,7441.89100000
SOLUSDT,1,241112,131900,207.45000000,207.74000000,206.85000000,207.09000000,12208.13500000
SOLUSDT,1,241112,131800,207.79000000,207.92000000,207.25000000,207.47000000,4501.97100000
SOLUSDT,1,241112,131700,208.10000000,208.22000000,207.44000000,207.80000000,4613.15500000
SOLUSDT,1,241112,131600,208.50000000,208.58000000,207.75000000,208.11000000,7207.26500000
SOLUSDT,1,241112,131500,208.73000000,208.88000000,208.24000000,208.49000000,8924.46600000
SOLUSDT,1,241112,131400,208.84000000,208.87000000,208.35000000,208.73000000,6541.60600000
SOLUSDT,1,241112,131300,208.25000000,208.86000000,208.00000000,208.84000000,5834.12500000
SOLUSDT,1,241112,131200,208.11000000,208.60000000,207.92000000,208.31000000,8785.99500000
SOLUSDT,1,241112,131100,207.66000000,208.22000000,207.17000000,208.11000000,11094.50100000
SOLUSDT,1,241112,131000,206.93000000,207.80000000,206.58000000,207.66000000,8535.10900000
SOLUSDT,1,241112,130900,206.01000000,207.11000000,205.90000000,206.94000000,12832.39200000
SOLUSDT,1,241112,130800,206.93000000,206.96000000,205.91000000,206.00000000,8724.38200000
SOLUSDT,1,241112,130700,206.76000000,207.38000000,206.37000000,206.91000000,8798.40600000
SOLUSDT,1,241112,130600,207.16000000,207.41000000,206.24000000,206.76000000,11361.02300000
SOLUSDT,1,241112,130500,206.63000000,207.31000000,206.55000000,207.14000000,10874.58500000
SOLUSDT,1,241112,130400,206.48000000,206.87000000,206.00000000,206.63000000,14350.23300000
SOLUSDT,1,241112,130300,206.64000000,207.00000000,205.74000000,206.50000000,48477.69500000
SOLUSDT,1,241112,130200,207.61000000,208.26000000,206.50000000,206.63000000,27475.96700000
SOLUSDT,1,241112,130100,208.30000000,208.66000000,207.38000000,207.61000000,7375.21000000
SOLUSDT,1,241112,130000,208.93000000,209.44000000,208.15000000,208.29000000,6072.77100000
SOLUSDT,1,241112,125900,209.23000000,209.26000000,208.51000000,208.93000000,4476.01400000
SOLUSDT,1,241112,125800,208.99000000,209.29000000,208.83000000,209.23000000,3754.32800000
SOLUSDT,1,241112,125700,209.12000000,209.50000000,208.76000000,208.99000000,5169.24700000
SOLUSDT,1,241112,125600,209.65000000,209.82000000,209.01000000,209.11000000,5938.60300000
SOLUSDT,1,241112,125500,208.81000000,209.64000000,208.68000000,209.64000000,7153.97200000
SOLUSDT,1,241112,125400,207.50000000,208.99000000,207.47000000,208.81000000,11591.05600000
SOLUSDT,1,241112,125300,207.88000000,208.02000000,207.45000000,207.50000000,9541.40400000
SOLUSDT,1,241112,125200,207.66000000,207.93000000,207.27000000,207.88000000,8594.70400000
SOLUSDT,1,241112,125100,208.08000000,208.24000000,207.58000000,207.67000000,11974.87700000
SOLUSDT,1,241112,125000,208.52000000,208.61000000,208.00000000,208.07000000,9933.32800000
SOLUSDT,1,241112,124900,208.93000000,209.21000000,208.34000000,208.51000000,6604.06400000
SOLUSDT,1,241112,124800,209.25000000,209.35000000,208.66000000,208.93000000,4766.54200000
SOLUSDT,1,241112,124700,208.35000000,209.25000000,208.22000000,209.25000000,7239.77300000
SOLUSDT,1,241112,124600,207.97000000,208.47000000,207.81000000,208.36000000,13641.49700000
SOLUSDT,1,241112,124500,208.15000000,208.32000000,207.89000000,207.97000000,12791.06800000
SOLUSDT,1,241112,124400,208.11000000,208.45000000,208.00000000,208.15000000,9036.82400000
SOLUSDT,1,241112,124300,208.32000000,208.78000000,208.10000000,208.11000000,8465.02300000
SOLUSDT,1,241112,124200,208.99000000,209.24000000,208.11000000,208.32000000,21758.93400000
SOLUSDT,1,241112,124100,209.20000000,209.52000000,208.84000000,209.00000000,5276.07600000
